p max 2002 47872
n 1 s
n 2 t
a 1 3 0
a 1 4 0
a 1 5 0
a 1 6 0
a 1 7 0
a 1 8 0
a 1 9 0
a 1 10 0
a 1 11 0
a 1 12 0
a 1 13 0
a 1 14 0
a 1 15 0
a 1 16 0
a 1 17 0
a 1 18 0
a 1 19 0
a 1 20 0
a 1 21 0
a 1 22 0
a 1 23 0
a 1 24 0
a 1 25 0
a 1 26 0
a 1 27 0
a 1 28 0
a 1 29 0
a 1 30 0
a 1 31 0
a 1 32 0
a 1 33 0
a 1 34 0
a 1 35 0
a 1 36 0
a 1 37 0
a 1 38 0
a 1 39 0
a 1 40 0
a 1 41 0
a 1 42 0
a 1 43 0
a 1 44 0
a 1 45 0
a 1 46 0
a 1 47 0
a 1 48 0
a 1 49 0
a 1 50 0
a 1 51 0
a 1 52 0
a 1 53 0
a 1 54 0
a 1 55 0
a 1 56 0
a 1 57 0
a 1 58 0
a 1 59 0
a 1 60 0
a 1 61 0
a 1 62 0
a 1 63 0
a 1 64 0
a 1 65 0
a 1 66 0
a 1 67 0
a 1 68 0
a 1 69 0
a 1 70 0
a 1 71 0
a 1 72 0
a 1 73 0
a 1 74 0
a 1 75 0
a 1 76 0
a 1 77 0
a 1 78 0
a 1 79 0
a 1 80 0
a 1 81 0
a 1 82 0
a 1 83 0
a 1 84 0
a 1 85 0
a 1 86 0
a 1 87 0
a 1 88 0
a 1 89 0
a 1 90 0
a 1 91 0
a 1 92 0
a 1 93 0
a 1 94 0
a 1 95 0
a 1 96 0
a 1 97 0
a 1 98 0
a 1 99 0
a 1 100 0
a 1 101 0
a 1 102 0
a 1 103 0
a 1 104 0
a 1 105 0
a 1 106 0
a 1 107 0
a 1 108 0
a 1 109 0
a 1 110 0
a 1 111 0
a 1 112 0
a 1 113 0
a 1 114 0
a 1 115 0
a 1 116 0
a 1 117 0
a 1 118 0
a 1 119 0
a 1 120 0
a 1 121 0
a 1 122 0
a 1 123 0
a 1 124 0
a 1 125 0
a 1 126 0
a 1 127 0
a 1 128 0
a 1 129 0
a 1 130 0
a 1 131 0
a 1 132 0
a 1 133 0
a 1 134 0
a 1 135 0
a 1 136 0
a 1 137 0
a 1 138 0
a 1 139 0
a 1 140 0
a 1 141 0
a 1 142 0
a 1 143 0
a 1 144 0
a 1 145 0
a 1 146 0
a 1 147 0
a 1 148 0
a 1 149 0
a 1 150 0
a 1 151 0
a 1 152 0
a 1 153 0
a 1 154 0
a 1 155 0
a 1 156 0
a 1 157 0
a 1 158 0
a 1 159 0
a 1 160 0
a 1 161 0
a 1 162 0
a 1 163 0
a 1 164 0
a 1 165 0
a 1 166 0
a 1 167 0
a 1 168 0
a 1 169 0
a 1 170 0
a 1 171 0
a 1 172 0
a 1 173 0
a 1 174 0
a 1 175 0
a 1 176 0
a 1 177 0
a 1 178 0
a 1 179 0
a 1 180 0
a 1 181 0
a 1 182 0
a 1 183 0
a 1 184 0
a 1 185 0
a 1 186 0
a 1 187 0
a 1 188 0
a 1 189 0
a 1 190 0
a 1 191 0
a 1 192 0
a 1 193 0
a 1 194 0
a 1 195 0
a 1 196 0
a 1 197 0
a 1 198 0
a 1 199 0
a 1 200 0
a 1 201 0
a 1 202 0
a 1 203 0
a 1 204 0
a 1 205 0
a 1 206 0
a 1 207 0
a 1 208 0
a 1 209 0
a 1 210 0
a 1 211 0
a 1 212 0
a 1 213 0
a 1 214 0
a 1 215 0
a 1 216 0
a 1 217 0
a 1 218 0
a 1 219 0
a 1 220 0
a 1 221 0
a 1 222 0
a 1 223 0
a 1 224 0
a 1 225 0
a 1 226 0
a 1 227 0
a 1 228 0
a 1 229 0
a 1 230 0
a 1 231 0
a 1 232 0
a 1 233 0
a 1 234 0
a 1 235 0
a 1 236 0
a 1 237 0
a 1 238 0
a 1 239 0
a 1 240 0
a 1 241 0
a 1 242 0
a 1 243 0
a 1 244 0
a 1 245 0
a 1 246 0
a 1 247 0
a 1 248 0
a 1 249 0
a 1 250 0
a 1 251 0
a 1 252 0
a 1 253 0
a 1 254 0
a 1 255 0
a 1 256 0
a 1 257 0
a 1 258 0
a 1 259 0
a 1 260 0
a 1 261 0
a 1 262 0
a 1 263 0
a 1 264 0
a 1 265 0
a 1 266 0
a 1 267 0
a 1 268 0
a 1 269 0
a 1 270 0
a 1 271 0
a 1 272 0
a 1 273 0
a 1 274 0
a 1 275 0
a 1 276 0
a 1 277 0
a 1 278 0
a 1 279 0
a 1 280 0
a 1 281 0
a 1 282 0
a 1 283 0
a 1 284 0
a 1 285 0
a 1 286 0
a 1 287 0
a 1 288 0
a 1 289 0
a 1 290 0
a 1 291 0
a 1 292 0
a 1 293 0
a 1 294 0
a 1 295 0
a 1 296 0
a 1 297 0
a 1 298 0
a 1 299 0
a 1 300 0
a 1 301 0
a 1 302 0
a 1 303 0
a 1 304 0
a 1 305 0
a 1 306 0
a 1 307 0
a 1 308 0
a 1 309 0
a 1 310 0
a 1 311 0
a 1 312 0
a 1 313 0
a 1 314 0
a 1 315 0
a 1 316 0
a 1 317 0
a 1 318 0
a 1 319 0
a 1 320 0
a 1 321 0
a 1 322 0
a 1 323 0
a 1 324 0
a 1 325 0
a 1 326 0
a 1 327 0
a 1 328 0
a 1 329 0
a 1 330 0
a 1 331 0
a 1 332 0
a 1 333 0
a 1 334 0
a 1 335 0
a 1 336 0
a 1 337 0
a 1 338 0
a 1 339 0
a 1 340 0
a 1 341 0
a 1 342 0
a 1 343 0
a 1 344 0
a 1 345 0
a 1 346 0
a 1 347 0
a 1 348 0
a 1 349 0
a 1 350 0
a 1 351 0
a 1 352 0
a 1 353 0
a 1 354 0
a 1 355 0
a 1 356 0
a 1 357 0
a 1 358 0
a 1 359 0
a 1 360 0
a 1 361 0
a 1 362 0
a 1 363 0
a 1 364 0
a 1 365 0
a 1 366 0
a 1 367 0
a 1 368 0
a 1 369 0
a 1 370 0
a 1 371 0
a 1 372 0
a 1 373 0
a 1 374 0
a 1 375 0
a 1 376 0
a 1 377 0
a 1 378 0
a 1 379 0
a 1 380 0
a 1 381 0
a 1 382 0
a 1 383 0
a 1 384 0
a 1 385 0
a 1 386 0
a 1 387 0
a 1 388 0
a 1 389 0
a 1 390 0
a 1 391 0
a 1 392 0
a 1 393 0
a 1 394 0
a 1 395 0
a 1 396 0
a 1 397 0
a 1 398 0
a 1 399 0
a 1 400 0
a 1 401 0
a 1 402 0
a 1 403 0
a 1 404 0
a 1 405 0
a 1 406 0
a 1 407 0
a 1 408 0
a 1 409 0
a 1 410 0
a 1 411 0
a 1 412 0
a 1 413 0
a 1 414 0
a 1 415 0
a 1 416 0
a 1 417 0
a 1 418 0
a 1 419 0
a 1 420 0
a 1 421 0
a 1 422 0
a 1 423 0
a 1 424 0
a 1 425 0
a 1 426 0
a 1 427 0
a 1 428 0
a 1 429 0
a 1 430 0
a 1 431 0
a 1 432 0
a 1 433 0
a 1 434 0
a 1 435 0
a 1 436 0
a 1 437 0
a 1 438 0
a 1 439 0
a 1 440 0
a 1 441 0
a 1 442 0
a 1 443 0
a 1 444 0
a 1 445 0
a 1 446 0
a 1 447 0
a 1 448 0
a 1 449 0
a 1 450 0
a 1 451 0
a 1 452 0
a 1 453 0
a 1 454 0
a 1 455 0
a 1 456 0
a 1 457 0
a 1 458 0
a 1 459 0
a 1 460 0
a 1 461 0
a 1 462 0
a 1 463 0
a 1 464 0
a 1 465 0
a 1 466 0
a 1 467 0
a 1 468 0
a 1 469 0
a 1 470 0
a 1 471 0
a 1 472 0
a 1 473 0
a 1 474 0
a 1 475 0
a 1 476 0
a 1 477 0
a 1 478 0
a 1 479 0
a 1 480 0
a 1 481 0
a 1 482 0
a 1 483 0
a 1 484 0
a 1 485 0
a 1 486 0
a 1 487 0
a 1 488 0
a 1 489 0
a 1 490 0
a 1 491 0
a 1 492 0
a 1 493 0
a 1 494 0
a 1 495 0
a 1 496 0
a 1 497 0
a 1 498 0
a 1 499 0
a 1 500 0
a 1 501 0
a 1 502 0
a 1 503 0
a 1 504 0
a 1 505 0
a 1 506 0
a 1 507 0
a 1 508 0
a 1 509 0
a 1 510 0
a 1 511 0
a 1 512 0
a 1 513 0
a 1 514 0
a 1 515 0
a 1 516 0
a 1 517 0
a 1 518 0
a 1 519 0
a 1 520 0
a 1 521 0
a 1 522 0
a 1 523 0
a 1 524 0
a 1 525 0
a 1 526 0
a 1 527 0
a 1 528 0
a 1 529 0
a 1 530 0
a 1 531 0
a 1 532 0
a 1 533 0
a 1 534 0
a 1 535 0
a 1 536 0
a 1 537 0
a 1 538 0
a 1 539 0
a 1 540 0
a 1 541 0
a 1 542 0
a 1 543 0
a 1 544 0
a 1 545 0
a 1 546 0
a 1 547 0
a 1 548 0
a 1 549 0
a 1 550 0
a 1 551 0
a 1 552 0
a 1 553 0
a 1 554 0
a 1 555 0
a 1 556 0
a 1 557 0
a 1 558 0
a 1 559 0
a 1 560 0
a 1 561 0
a 1 562 0
